Date,STT,0939.HK,BK,C,JPM,INGA.AS,GS,MS,3988.HK,BAC,1398.HK,BNP.PA,RBS.L,GLE.PA,CSGN.VX,1288.HK,STAN.L,DBK.DE,BARC.L,ACA.PA,8306.T,RY.TO,WFC,8316.T,UBSG.VX,8411.T,HSBA.L,SAN.MC,NDA-SEK.ST,UCG.MI,^GSPC,^HSI,^GSPTSE,^N225,^SSMI,^STOXX50E,^FTSE
2010-08-20,32.06131,4.279298,21.21699,35.836117,30.224498999999998,5.69995,133.30098,23.007707999999997,2.478067,11.96717,3.694864,37.098797,454.200012,31.454069,32.127277,2.271958,1256.560913,33.733799,241.366043,7.432038,334.804626,37.284943,19.964717999999998,1961.765747,14.126192,99.20327,422.21228,4.724463,64.803368,61.607262,1071.689941,20981.820313,11722.099609,9179.379883,6185.819824,2643.97998,5195.299805
2010-08-23,31.661524,4.233492,21.096479000000002,35.836117,30.012913,5.734672,131.952179,22.830182999999998,2.465768,11.96717,3.675241,37.571442,457.0,31.599487,32.43158,2.298223,1268.382324,34.012451,242.772949,7.535831,334.009399,37.517193,19.664429000000002,1960.264038,14.400085,100.672935,425.541046,4.835531,65.809181,62.084351,1067.359985,20889.009766,11718.599609,9116.69043,6209.450195,2660.840088,5234.799805
2010-08-24,30.696814,4.220407,20.950165,35.453860999999996,29.467665000000004,5.541685,129.443329,22.306465,2.447319,11.753306,3.675241,36.771584,441.0,31.151733,31.92905,2.278524,1246.954834,33.468388,235.092346,7.446866,330.828339,36.355907,19.1856,1943.746948,14.034894,99.20327,419.349731,4.721894,64.324417,60.52586,1051.869995,20658.710938,11557.400391,8995.139648,6144.140137,2614.540039,5156.0
2010-08-25,30.775032,4.194235,20.795229,35.167168,29.483940000000004,5.464976,130.099747,22.279844,2.435026,11.771899000000001,3.655624,35.74995,429.899994,30.562376,31.341623,2.258826,1227.373047,33.020512,226.613159,7.33937,324.466217,36.791393,19.153139000000003,1906.208252,13.877197,96.998756,420.414825,4.61391,62.791744,58.840244,1055.329956,20634.980469,11648.099609,8845.389648,6098.589844,2587.399902,5109.399902
2010-08-26,30.305714000000002,4.200779,20.812447,34.976051,28.995659000000003,5.580444,127.51898200000001,21.862645999999998,2.435026,11.59523,3.649085,35.942642,438.5,30.707798,31.794601,2.317923,1261.363647,33.183075,229.654984,7.539535,326.85202,35.528484,19.063862,1920.473145,14.092992,97.733574,421.346893,4.695157,63.79755,59.69891,1047.219971,20612.060547,11653.200195,8906.480469,6131.759766,2606.889893,5155.799805
2010-08-27,31.157438,4.200779,21.21699,35.931671,29.785061,5.653117,125.66656499999999,22.217703,2.422727,11.753306,3.694864,36.171692,435.0,30.960379,31.815861,2.324489,1282.057617,33.269268,231.137573,7.59514,326.056793,36.580902,19.477766,1925.729126,14.16769,98.46843,424.076447,4.736291,64.276512,59.476269,1064.589966,20597.349609,11879.700195,8991.05957,6183.140137,2630.350098,5201.600098
2010-08-31,30.488243,4.200779,20.881304,35.453860999999996,29.589740999999997,5.666845,123.43989599999999,21.915915,2.404278,11.585930000000001,3.694864,35.89901,445.799988,30.753723,31.561033,2.311356,1292.025879,32.897758,229.95871,7.372736,318.899475,37.016388,19.112562,1877.679199,14.225786,94.794235,428.536926,4.7548,63.462276,58.903755,1049.329956,20536.490234,11913.900391,8824.05957,6180.890137,2622.949951,5225.200195
2010-09-01,31.722363,4.213864,21.621531,36.791740000000004,30.712782,5.963186,125.973091,22.555014,2.398128,12.293184,3.71448,38.029537,458.0,32.502659,32.452843,2.317923,1344.865112,33.826653,239.921356,7.710037,319.694702,37.771229,20.013409,1878.430176,14.815073,95.52906,434.062592,4.982076,66.192352,61.321011,1080.290039,20623.830078,12003.799805,8927.019531,6332.430176,2715.27002,5366.399902
2010-09-02,31.661524,4.246584,21.750637,37.078423,31.054571000000003,6.001137,126.009155,22.794674,2.422727,12.358327000000001,3.760259,38.124073,461.5,32.747589,32.304249,2.324489,1356.68689,32.738449,237.259094,7.813814,318.104156,37.959946,20.370501,1893.445557,14.856569,96.263908,434.062592,4.967164,65.282326,61.543644,1090.099976,20868.919922,12111.099609,9062.839844,6333.649902,2715.189941,5371.0
2010-09-03,32.95649,4.246584,22.439219,37.365116,31.876510999999997,6.110146,132.77926599999998,23.664564000000002,2.435026,12.563058999999999,3.779876,38.858482,466.200012,33.964573,33.330498,2.344188,1382.175659,33.183075,247.145081,8.069562,320.48996,38.322849,20.971064000000002,1900.953125,15.163662,96.263908,435.660431,5.045323,65.138649,62.434212,1104.51001,20971.5,12144.900391,9114.129883,6400.709961,2746.22998,5428.200195
